objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
2,2026-08-01T22:09:00Z,1785622140000,KENT CITY,700 BLOCK OF CHARY GLEN DR NW,MEDICAL EMERGENCY,Fire,KENT CITY FIRE,,
10,2026-08-01T22:15:00Z,1785622500000,CASCADE TWP,28TH TO I-96 WB RAMP,VEHICLE CRASH,Police,KENT CO SHERIFF,42.91499804,-85.53608607
1,2026-08-01T22:15:00Z,1785622500000,WYOMING,5800 BLOCK OF VILLAGE DR SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
1,2026-08-01T22:18:00Z,1785622680000,KENTWOOD,4200 BLOCK OF SANDPIPER DR SE,SUSPICIOUS INCIDENT,Police,KENTWOOD POLICE,,
5,2026-08-01T22:24:00Z,1785623040000,WYOMING,28TH ST SE / S DIVISION AVE,VEHICLE CRASH,Police,WYOMING POLICE,,
2,2026-08-01T22:25:00Z,1785623100000,CEDAR SPRINGS,4200 BLOCK OF SOLON ST NE,MEDICAL EMERGENCY,Fire,CEDAR SPRINGS FIRE,,
3,2026-08-01T22:31:00Z,1785623460000,WYOMING,5300 BLOCK OF VIRGINIA LN SW,CARBON MONOXIDE INVESTIGATION,Fire,WYOMING FIRE,,
1,2026-08-01T22:35:00Z,1785623700000,WYOMING,300 BLOCK OF CROWN ST SW,ABANDONED VEHICLE,Police,WYOMING POLICE,,
1,2026-08-01T22:37:00Z,1785623820000,BYRON TWP,600 BLOCK OF PINESPAR DR SW,MEDICAL EMERGENCY,Fire,BYRON TWP FIRE,,
2,2026-08-01T22:37:00Z,1785623820000,WYOMING,3500 BLOCK OF BLUEBIRD AVE SW,MISC FIRE,Fire,WYOMING FIRE,,
2,2026-08-01T22:46:00Z,1785624360000,WYOMING,2400 BLOCK OF 28TH ST SW,911 HANG UP,Police,WYOMING POLICE,,
1,2026-08-01T22:47:00Z,1785624420000,EAST GRAND RAPIDS,2200 BLOCK OF WEALTHY ST SE,FRAUD,Police,EAST GRAND RAPIDS POLICE,,
1,2026-08-01T22:48:00Z,1785624480000,GAINES TWP,9300 BLOCK OF COPPER GREENS DR SE,INJUNCTIVE VIOLATION,Police,KENT CO SHERIFF,,
9,2026-08-01T22:57:00Z,1785625020000,LOWELL TWP,3000 BLOCK OF TIMPSON AVE SE,GENERAL ASSIST,Police,KENT CO SHERIFF,,
2,2026-08-01T22:59:00Z,1785625140000,WYOMING,50TH ST SW / HAVANA AVE SW,VEHICLE CRASH,Police,WYOMING POLICE,,
7,2026-08-01T23:03:00Z,1785625380000,WYOMING,700 BLOCK OF 44TH ST SW,WELFARE CHECK,Police,WYOMING POLICE,,
1,2026-08-01T23:05:00Z,1785625500000,WALKER,300 BLOCK OF WILSON AVE NW,GENERAL ASSIST,Police,WALKER POLICE,,
1,2026-08-01T23:09:00Z,1785625740000,SPENCER TWP,12100 BLOCK OF BLACK CREEK ST NE,BROADCAST,Police,KENT CO SHERIFF,,
1,2026-08-01T23:09:00Z,1785625740000,SPENCER TWP,12100 BLOCK OF BLACK CREEK ST NE,MEDICAL EMERGENCY,Fire,SPENCER TWP FIRE,,
1,2026-08-01T23:17:00Z,1785626220000,WYOMING,2000 BLOCK OF LEE ST SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
2,2026-08-01T23:18:00Z,1785626280000,WALKER,2600 BLOCK OF ALPINE AVE NW,FOUND PROPERTY,Police,WALKER POLICE,,
1,2026-08-01T23:20:00Z,1785626400000,GAINES TWP,7200 BLOCK OF KALAMAZOO AVE SE,BROADCAST,Police,KENT CO SHERIFF,,
2,2026-08-01T23:20:00Z,1785626400000,ROCKFORD,100 BLOCK OF COURTLAND ST NE,STOLEN VEHICLE,Police,ROCKFORD POLICE,,
1,2026-08-01T23:23:00Z,1785626580000,ADA TWP,7600 BLOCK OF E FULTON ST,911 HANG UP,Police,KENT CO SHERIFF,,
1,2026-08-01T23:24:00Z,1785626640000,KENTWOOD,2400 BLOCK OF YORKTOWN DR SE,LOUD NOISE,Police,KENTWOOD POLICE,,
1,2026-08-01T23:41:00Z,1785627660000,GAINES TWP,S DIVISION AVE / M-6 FWY,GENERAL ASSIST,Police,KENT CO SHERIFF,,
2,2026-08-01T23:42:00Z,1785627720000,WYOMING,3600 BLOCK OF MICHAEL AVE SW,WELFARE CHECK,Police,WYOMING POLICE,,
4,2026-08-01T23:51:00Z,1785628260000,CANNON TWP,7300 BLOCK OF TILLICUM TRL NE,MEDICAL EMERGENCY,Fire,CANNON TWP FIRE,,
2,2026-08-01T23:51:00Z,1785628260000,GRANDVILLE,3300 BLOCK OF 28TH ST SW,LARCENY,Police,GRANDVILLE POLICE,,
1,2026-08-01T23:52:00Z,1785628320000,KENTWOOD,5900 BLOCK OF LEISURE SOUTH DR SE,OBSCENITY,Police,KENTWOOD POLICE,,
7,2026-08-01T23:54:00Z,1785628440000,GAINES TWP,6100 BLOCK OF RYE LN SE,LARCENY,Police,KENT CO SHERIFF,,
